x,y
2,0.0
3,4339.755324057722
4,5994.3244752943
5,6808.8980718784105
6,7924.503527238945
7,9788.03571444492
8,9414.312610759518
9,10899.899709637208
10,10807.725692165584
11,10858.840292276856
12,10962.920430119237
13,12693.118391865471
14,12239.214684817616
15,10925.475629359056
16,11610.288788009339
17,12583.813125269053
18,12671.417361405265
19,12284.76927677057
20,13403.812609420149
21,12958.837498862538
22,13767.269195136041
23,14006.474964299134
24,12200.61957292925
25,13585.401203011308
26,13243.221860335345
27,13858.72389814163
28,12370.230193434765
29,14103.591342569636
30,13527.620993310378
31,14570.99155083961
32,13675.98832916999
33,14027.116321743544
34,14649.83483390378
35,12178.7225883747
36,12690.881500419966
37,14871.367953606346
38,14141.841805413655
39,15142.507493055342
40,15199.446228730112
41,11339.681083224816
42,12985.868256845415
43,15712.37411244685
44,14533.735515861
45,13333.69074299044
46,15011.186331606637
47,12272.754430570061
48,14733.66765520881
49,14196.879637612446
50,12817.193881552937
51,15209.456436292015
52,11799.33195543655
53,15066.921834801697
54,14747.098074641377
55,15037.018484615968
56,14305.834574122995
57,15095.18905760808
58,15224.009931989656
59,15323.618226918508
60,14604.64340306693
61,15199.000551868587
62,12054.16552463971
63,12491.501165674128
64,15439.441220410596
65,15643.410708451986
66,12182.060692622876
67,13301.192855496243
68,11873.441248552152
69,13858.322887642713
70,14701.71221419423
71,15967.870999147173
72,15977.307329485233
73,15175.79399497611
74,14274.66548814189
75,16203.990564960217
76,15943.115450826479
77,15375.454720729245
78,15870.726171844612
79,14194.34736883169
80,13415.480541556548
81,15360.499161842288
82,15507.461742689693
83,15881.506097145055
84,14985.166995251873
85,15534.873990416903
86,15928.6036581752
87,14146.242143662908
88,14353.847569871965
89,15010.365471266068
90,14252.933170716538
91,16320.546001818222
92,15640.868375265596
93,16119.591719469885
94,12726.62991570269
95,11268.53830111207
96,12440.787214265523
97,13330.333567460753
98,14678.275989408956
99,13076.47502494151
