x,y
1,15014.322867718323
2,18824.296770390698
3,19012.67724559932
4,19116.06329306554
5,18608.652366509086
6,18819.77754841463
7,17487.84856428866
8,19020.017173363496
9,18591.030120588926
10,18822.34542845366
11,19065.68715172766
12,19388.916622125314
13,19494.16959472438
14,19010.6327933446
15,19367.335695902984
16,18967.164739092845
17,17947.175328303332
18,17284.760243340217
19,19305.9562637265
20,18899.01540191135
21,18809.557493833716
22,18867.090377123448
23,17661.49597117677
24,16980.145371661973
25,19150.36880370289
26,19444.67425558551
27,18863.80015408741
28,18913.849476197043
29,19428.301563906334
30,18726.39607583905
31,18869.27237012701
32,19283.368186190095
33,18551.21188427379
34,18869.084536457434
35,18392.116787058534
36,19009.75930420637
37,18644.578712393737
38,19337.86808508151
39,18973.878017952506
40,19244.31134059953
41,18875.434984806918
42,18982.706275144847
43,17740.555983898885
44,19142.908284478122
45,18685.41583381956
46,18010.874312580996
47,18796.78309364941
48,16826.06083653158
49,18107.000345339675
50,18852.17517595406
51,19137.258143870386
52,19110.707313953266
53,19302.842236183555
54,18495.75624469729
55,18825.92670511963
56,19274.505879652606
57,18970.827224747904
58,19296.814017128447
59,19271.085630420017
60,18395.00528691019
61,19450.838942796803
62,19287.022416521344
63,18334.4842552585
64,18606.843913451165
65,18594.987362161904
66,17019.53884793635
67,18438.788221513252
68,19175.51754238712
69,17735.662829626697
70,18308.74669399332
71,19218.136260074494
72,18634.040294926996
73,18221.43790390761
74,19358.3888929078
75,18413.24697486954
76,19215.15603500222
77,19432.556563639435
78,18876.551035375534
79,18551.9818932727
80,19329.807945325796
81,18579.184974722088
82,18829.19170443853
83,18753.246635022744
84,19107.59615441454
85,17606.876315634378
86,18960.021406783064
87,17888.5339106115
88,17477.62762241533
89,18972.820938836077
90,18521.031787721942
91,18832.409255255567
92,18607.547470168294
93,18733.998514890212
94,19427.26206145217
95,19321.39412882034
96,19247.79578931149
97,18652.978930464942
98,17954.841987321775
99,18736.53295307746
