x,y
1,13515.780104227637
2,16666.91997135762
3,15773.086689679421
4,16157.370444093689
5,13620.745721406369
6,15851.188809540066
7,12791.357250266821
8,16337.85078503154
9,16498.995992009885
10,16904.73876336636
11,14028.441782775313
12,14572.493229545087
13,12847.224417474032
14,16933.339229538455
15,17545.75151572508
16,17642.78246671116
17,16089.73291162376
18,14922.736262628201
19,15456.143365578779
20,17312.354234222556
21,16904.85021252338
22,17076.78237582381
23,15222.51918974217
24,16647.40403133887
25,17076.844616852224
26,16265.423522793693
27,17494.131332839526
28,17439.27668506238
29,18304.013319594484
30,15203.656459721513
31,16038.024262952367
32,17274.494027619552
33,18865.661341109844
34,17099.317325125776
35,16194.01327155014
36,17044.007681749412
37,17999.753388439713
38,18422.661166947477
39,17828.209836895865
40,15254.519046578533
41,17799.849856764573
42,17505.80715845775
43,18470.11023469798
44,17963.63964427359
45,17840.707920324396
46,16313.636127101474
47,19288.053852923524
48,15812.929850505247
49,17397.529341860547
50,17434.65008042631
51,18423.00876950953
52,18720.67998106141
53,15735.36187933229
54,13609.675149499008
55,18604.384968912927
56,17169.056665494558
57,17739.258106001875
58,18397.937855923425
59,15100.161008201518
60,18579.059494625908
61,19663.410355194796
62,19413.791288911805
63,18605.863192369787
64,17449.593160581557
65,18069.003807306904
66,18749.312180038585
67,19841.81992041409
68,19502.663039389983
69,17769.35262935363
70,14038.95331961901
71,16864.30999305799
72,19109.51124822998
73,17560.02797323742
74,19533.199811217157
75,19103.641826335974
76,14650.433012564623
77,18761.40829849516
78,19825.59155031405
79,17966.97827313077
80,18793.592845621566
81,15443.933808869522
82,18618.457701475418
83,19089.570884945755
84,19133.838041724066
85,18633.51571551903
86,18192.303565789607
87,19671.36052658704
88,16992.42445571046
89,17049.078757207728
90,18740.93715440892
91,19376.65117184138
92,19715.18944123031
93,13695.614940495307
94,17911.080469046523
95,19629.151216139446
96,20389.921853792388
97,16682.854129150204
98,15131.08789008539
99,17887.01367326345
